Date,Ret_m_Rf_dvdy
02/03/00,0.001783147
03/03/00,0.019564272
06/03/00,-0.012855284
07/03/00,-0.026043879
08/03/00,0.008061547
09/03/00,0.025200988
10/03/00,-0.004812637
13/03/00,-0.008319887
14/03/00,-0.017922309
15/03/00,0.023904038
16/03/00,0.046467197
17/03/00,0.004026879
20/03/00,-0.005446412
21/03/00,0.025165931
22/03/00,0.004443047
23/03/00,0.017563916
24/03/00,-6.57E-06
27/03/00,-0.002438202
28/03/00,-0.010719966
29/03/00,0.000445274
30/03/00,-0.013828432
31/03/00,0.007060181
03/04/00,0.004825113
04/04/00,-0.007585728
05/04/00,-0.005030232
06/04/00,0.009254451
07/04/00,0.009853982
10/04/00,-0.007966225
11/04/00,-0.002669776
12/04/00,-0.022617049
13/04/00,-0.018432294
14/04/00,-0.060139211
17/04/00,0.032453997
18/04/00,0.028166184
19/04/00,-0.009951021
20/04/00,0.004846528
24/04/00,-0.003361854
25/04/00,0.03264018
26/04/00,-0.011290652
27/04/00,0.002592269
28/04/00,-0.008656724
01/05/00,0.010742926
02/05/00,-0.015159768
03/05/00,-0.021891737
04/05/00,-0.004005764
05/05/00,0.016137028
08/05/00,-0.006012937
09/05/00,-0.00857316
10/05/00,-0.02090529
11/05/00,0.017653871
12/05/00,0.009207089
15/05/00,0.021766901
16/05/00,0.00928487
17/05/00,-0.012609954
18/05/00,-0.007431726
19/05/00,-0.021369737
22/05/00,-0.004528073
23/05/00,-0.01945232
24/05/00,0.018078948
